City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Victoria,HK,22.2855,114.1577,68.32,80,0,8.01,clear sky
80,San Quintin,MX,30.4833,-115.95,61.23,66,29,14.43,scattered clouds
81,Hermanus,ZA,-34.4187,19.2345,67.8,83,0,10.78,clear sky
82,Bredasdorp,ZA,-34.5322,20.0403,63.72,88,0,4.61,clear sky
83,Noumea,NC,-22.2763,166.4572,81.0,99,29,3.89,scattered clouds
84,Saint-Joseph,RE,-21.3667,55.6167,75.58,84,22,7.74,few clouds
85,Turbat,PK,26.0023,63.044,74.73,50,0,1.52,clear sky
86,Te Anau,NZ,-45.4167,167.7167,66.79,65,81,6.6,light rain
87,Novaya Igirma,RU,57.1334,103.9112,-9.17,100,98,1.19,overcast clouds
88,Road Town,VG,18.4167,-64.6167,80.69,69,40,11.5,scattered clouds
89,Jacqueville,CI,5.2052,-4.4146,81.43,88,95,12.41,overcast clouds
90,Phuket,TH,8.0,98.25,77.22,88,20,3.44,few clouds
91,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,39,7.74,scattered clouds
92,Yellowknife,CA,62.456,-114.3525,-0.58,62,0,16.11,clear sky
93,Arinos,BR,-15.9169,-46.1056,78.13,52,94,3.02,overcast clouds
94,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,82,0,3.44,clear sky
95,Castro,BR,-24.7911,-50.0119,66.99,94,92,1.74,moderate rain
96,Khandyga,RU,62.6667,135.6,-0.13,98,100,2.71,overcast clouds
97,Sarangpur,IN,23.5667,76.4667,71.71,34,10,7.02,clear sky
98,Beyneu,KZ,45.3167,55.2,43.11,92,100,3.62,overcast clouds
99,Pimenta Bueno,BR,-11.6725,-61.1936,75.99,95,99,1.83,light rain
100,Ponta Do Sol,PT,32.6667,-17.1,66.06,82,82,7.58,broken clouds
101,Clyde River,CA,70.4692,-68.5914,-18.17,76,0,2.3,clear sky
102,Shenkursk,RU,62.1091,42.896,17.46,94,99,6.82,overcast clouds
103,Yenagoa,NG,4.9247,6.2642,80.24,85,95,6.02,overcast clouds
104,Garissa,KE,-0.4536,39.6401,79.75,61,25,13.67,scattered clouds
105,Mount Gambier,AU,-37.8333,140.7667,42.71,93,45,2.3,scattered clouds
106,Perbaungan,ID,3.5679,98.956,77.11,94,100,3.24,overcast clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,0,19.57,clear sky
108,Paratebueno,CO,4.3758,-73.2155,87.73,51,96,2.55,overcast clouds
109,Tarbes,FR,43.25,0.1667,51.91,87,0,3.44,clear sky
110,Puro,PH,12.4841,123.3827,77.43,88,69,8.43,broken clouds
111,Esperance,AU,-33.8667,121.9,60.64,78,99,12.08,overcast clouds
112,Mar Del Plata,AR,-38.0023,-57.5575,68.02,63,0,12.66,clear sky
113,Champerico,GT,14.3,-91.9167,82.94,55,1,11.83,clear sky
114,Codrington,AU,-38.2667,141.9667,60.04,64,71,6.98,broken clouds
