City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bontang,ID,2022-03-10 21:47:34,0.1333,117.5,78.73,83,87,2.44
68,Fortuna,US,2022-03-10 21:47:35,40.5982,-124.1573,60.85,64,0,13.8
69,Bundoran,IE,2022-03-10 21:47:35,54.4778,-8.2809,44.01,74,100,24.47
70,Saldanha,ZA,2022-03-10 21:47:36,-33.0117,17.9442,64.45,89,0,9.48
71,Sitka,US,2022-03-10 21:47:13,57.0531,-135.33,42.69,70,100,9.22
72,Sulangan,PH,2022-03-10 21:47:36,11.1373,123.7228,80.15,83,100,9.53
73,Dwarka,IN,2022-03-10 21:47:37,22.2394,68.9678,74.62,76,0,14.43
74,Magdagachi,RU,2022-03-10 21:47:37,53.45,125.8,15.08,76,100,9.6
75,Ilo,PE,2022-03-10 21:47:38,-17.6394,-71.3375,74.26,60,0,13.8
76,Yerbogachen,RU,2022-03-10 21:47:38,61.2767,108.0108,-15.79,99,83,6.38
77,Hithadhoo,MV,2022-03-10 21:47:38,-0.6,73.0833,81.59,61,19,2.51
78,Saskylakh,RU,2022-03-10 21:44:23,71.9167,114.0833,-34.37,100,98,3.74
79,Balkhash,KZ,2022-03-10 21:47:39,46.844,74.9804,26.85,88,100,16.33
80,Mwinilunga,ZM,2022-03-10 21:47:40,-11.7358,24.4293,64.09,96,98,3.18
81,Shimanovsk,RU,2022-03-10 21:47:40,52.0,127.7,19.49,93,100,12.64
82,Butaritari,KI,2022-03-10 21:42:28,3.0707,172.7902,80.55,82,64,16.53
83,Port Hardy,CA,2022-03-10 21:47:41,50.6996,-127.4199,39.38,87,100,9.22
84,Umm Kaddadah,SD,2022-03-10 21:47:42,13.6017,26.6876,75.09,23,97,24.65
85,Leningradskiy,RU,2022-03-10 21:47:42,69.3833,178.4167,8.26,77,2,6.71
86,Airai,TL,2022-03-10 21:47:43,-8.9266,125.4092,59.4,91,60,2.08
87,Ijero,NG,2022-03-10 21:47:43,6.4819,3.3803,82.63,89,20,4.61
88,Kouango,CF,2022-03-10 21:47:43,4.9934,19.9619,79.41,60,89,5.06
89,Yulara,AU,2022-03-10 21:47:44,-25.2406,130.9889,62.44,36,26,4.61
90,Qaanaaq,GL,2022-03-10 21:43:39,77.484,-69.3632,-4.83,66,100,2.39
91,Mehamn,NO,2022-03-10 21:43:22,71.0357,27.8492,37.35,75,0,40.29
