City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Rikitea,PF,2022-03-07 08:22:03,-23.1203,-134.9692,79.02,78,42,15.14
60,Namatanai,PG,2022-03-07 08:22:04,-3.6667,152.4333,81.77,77,49,4.94
61,Fratautii Vechi,RO,2022-03-07 08:22:04,47.9,25.8833,32.76,78,100,6.44
62,Qaanaaq,GL,2022-03-07 08:22:05,77.484,-69.3632,2.28,62,98,3.11
63,Malinalco,MX,2022-03-07 08:22:05,18.95,-99.5,69.62,44,37,4.29
64,Thompson,CA,2022-03-07 08:22:06,55.7435,-97.8558,-3.84,84,0,0.0
65,Sol-Iletsk,RU,2022-03-07 08:22:06,51.1631,54.9918,13.59,87,100,9.24
66,Bonavista,CA,2022-03-07 08:22:07,48.6499,-53.1147,28.11,93,100,14.07
67,Caravelas,BR,2022-03-07 08:22:07,-17.7125,-39.2481,73.22,87,11,1.36
68,Akyab,MM,2022-03-07 08:22:08,20.15,92.9,83.21,42,34,10.98
69,Ribeira Grande,PT,2022-03-07 08:22:08,38.5167,-28.7,55.8,62,40,13.8
70,Roma,US,2022-03-07 08:22:08,43.2128,-75.4557,40.86,77,100,6.91
71,Zyryanka,RU,2022-03-07 08:22:09,65.75,150.85,-23.24,100,100,1.95
72,Saint-Pierre,RE,2022-03-07 08:22:10,-21.3393,55.4781,87.48,62,0,10.36
73,Shimanovsk,RU,2022-03-07 08:22:10,52.0,127.7,25.38,82,99,4.36
74,Sorland,NO,2022-03-07 08:22:10,67.667,12.6934,40.86,95,100,10.27
75,Acapulco,MX,2022-03-07 08:18:28,16.8634,-99.8901,73.22,83,20,0.0
76,Upernavik,GL,2022-03-07 08:22:11,72.7868,-56.1549,7.74,94,100,5.28
77,Dingle,PH,2022-03-07 08:22:11,10.9995,122.6711,76.73,89,100,10.13
78,Saint Anthony,US,2022-03-07 08:22:12,45.0205,-93.218,24.82,77,100,12.66
79,Sheregesh,RU,2022-03-07 08:22:12,52.9209,87.9869,33.71,100,100,4.34
80,Pacific Grove,US,2022-03-07 08:22:01,36.6177,-121.9166,45.81,88,3,1.99
81,Saldanha,ZA,2022-03-07 08:22:13,-33.0117,17.9442,73.45,81,0,22.06
82,Pangnirtung,CA,2022-03-07 08:22:13,66.1451,-65.7125,-16.85,96,91,2.44
83,Nanortalik,GL,2022-03-07 08:22:14,60.1432,-45.2371,18.64,83,100,15.7
84,Khabarovsk,RU,2022-03-07 08:17:44,48.4808,135.0928,22.8,54,0,15.66
85,Albany,US,2022-03-07 08:22:15,42.6001,-73.9662,43.48,75,96,7.25
86,Yellowknife,CA,2022-03-07 08:19:20,62.456,-114.3525,19.42,89,100,17.27
87,Katsuura,JP,2022-03-07 08:22:15,35.1333,140.3,53.11,47,100,10.92
88,Puri,IN,2022-03-07 08:22:16,19.8,85.85,91.92,51,1,8.88
89,Tuktoyaktuk,CA,2022-03-07 08:22:16,69.4541,-133.0374,0.46,93,100,23.04
90,Nikolskoye,RU,2022-03-07 08:22:16,59.7035,30.7861,26.71,86,95,8.93
91,Kavieng,PG,2022-03-07 08:23:17,-2.5744,150.7967,82.9,73,100,2.66
92,Bambous Virieux,MU,2022-03-07 08:23:18,-20.3428,57.7575,86.25,70,75,16.11
93,Portland,US,2022-03-07 08:21:47,45.5234,-122.6762,42.98,91,0,3.0
94,Neuquen,AR,2022-03-07 08:18:35,-38.9516,-68.0591,53.49,71,0,8.05
95,Jijiang,CN,2022-03-07 08:23:19,29.2906,106.2542,77.59,32,0,7.11
96,Husavik,IS,2022-03-07 08:23:19,66.0449,-17.3389,30.11,80,17,17.85
97,Altar,MX,2022-03-07 08:23:19,30.7,-111.8167,48.34,37,2,2.17
98,Carnarvon,AU,2022-03-07 08:23:20,-24.8667,113.6333,89.67,51,0,16.11
99,Sobolevo,RU,2022-03-07 08:23:20,54.4299,31.8996,29.89,82,72,6.42
100,Ibra,OM,2022-03-07 08:20:24,22.6906,58.5334,86.9,17,79,4.29
101,Sitka,US,2022-03-07 08:23:21,57.0531,-135.33,35.49,87,0,0.0
102,New Norfolk,AU,2022-03-07 08:23:21,-42.7826,147.0587,65.91,42,14,1.01
103,Inta,RU,2022-03-07 08:23:22,66.0317,60.1659,-15.83,94,99,6.6
104,Santa Maria,BR,2022-03-07 08:23:22,-29.6842,-53.8069,70.59,94,53,6.51
105,Bluff,NZ,2022-03-07 08:23:23,-46.6,168.3333,54.81,83,75,10.74
106,Lompoc,US,2022-03-07 08:23:23,34.6391,-120.4579,48.13,88,0,14.0
107,Chiesanuova,SM,2022-03-07 08:23:23,43.9045,12.4214,39.96,77,100,1.99
108,Waipawa,NZ,2022-03-07 08:23:24,-41.4122,175.5153,59.45,95,100,10.65
109,Disna,BY,2022-03-07 08:23:24,55.568,28.1971,30.54,95,100,7.81
110,Avarua,CK,2022-03-07 08:23:25,-21.2078,-159.775,82.45,83,75,9.22
111,Severo-Kurilsk,RU,2022-03-07 08:23:25,50.6789,156.125,31.17,96,100,35.1
112,Cayenne,GF,2022-03-07 08:23:25,4.9333,-52.3333,79.09,87,100,7.0
113,Kavaratti,IN,2022-03-07 08:23:26,10.5669,72.642,82.62,65,99,4.99
114,Kaitangata,NZ,2022-03-07 08:23:27,-46.2817,169.8464,51.87,92,100,10.58
115,Eureka,US,2022-03-07 08:23:27,40.8021,-124.1637,44.2,90,0,6.62
116,Bonthe,SL,2022-03-07 08:23:27,7.5264,-12.505,77.07,75,28,3.2
117,Bethel,US,2022-03-07 08:22:05,41.3712,-73.414,59.72,75,100,7.83
118,Bredasdorp,ZA,2022-03-07 08:23:28,-34.5322,20.0403,74.28,83,100,12.66
119,Ust-Nera,RU,2022-03-07 08:23:28,64.5667,143.2,-15.74,100,19,1.36
120,Saint-Francois,FR,2022-03-07 08:23:29,46.4154,3.9054,32.41,83,14,1.14
121,Saskylakh,RU,2022-03-07 08:23:29,71.9167,114.0833,-15.25,99,59,1.77
122,Le Moule,GP,2022-03-07 08:23:30,16.3332,-61.3473,75.24,100,11,8.01
123,Russkiy Aktash,RU,2022-03-07 08:23:30,55.0384,52.1214,11.55,82,94,3.27
124,Champerico,GT,2022-03-07 08:23:31,14.3,-91.9167,73.29,76,0,10.63
125,Bubaque,GW,2022-03-07 08:23:31,11.2833,-15.8333,76.12,53,99,14.12
126,Kununurra,AU,2022-03-07 08:23:32,-15.7667,128.7333,100.38,39,97,4.61
127,Trincomalee,LK,2022-03-07 08:23:32,8.5711,81.2335,81.48,74,41,9.01
128,Arraial Do Cabo,BR,2022-03-07 08:23:32,-22.9661,-42.0278,76.1,89,20,22.15
129,Joshimath,IN,2022-03-07 08:23:33,30.5667,79.5667,61.27,41,100,7.05
130,Hithadhoo,MV,2022-03-07 08:23:33,-0.6,73.0833,82.67,67,11,4.99
131,Harper,LR,2022-03-07 08:23:34,4.375,-7.7169,80.85,83,75,4.85
132,Okmulgee,US,2022-03-07 08:23:34,35.6234,-95.9605,36.32,87,100,9.22
133,Kitimat,CA,2022-03-07 08:23:35,54.0524,-128.6534,44.98,96,80,3.09
134,Mapiripan,CO,2022-03-07 08:23:35,2.8892,-72.1256,73.53,84,100,3.49
135,Luganville,VU,2022-03-07 08:23:35,-15.5333,167.1667,80.04,85,100,2.3
136,Faya,SA,2022-03-07 08:23:36,18.3851,42.4509,77.11,33,10,7.25
137,Aitape,PG,2022-03-07 08:23:36,-3.1374,142.3475,83.03,75,96,4.36
138,Sao Paulo De Olivenca,BR,2022-03-07 08:23:37,-3.3783,-68.8725,71.01,98,100,1.07
139,Dinan,FR,2022-03-07 08:23:37,48.4167,-2.25,38.46,76,0,10.56
140,Yar-Sale,RU,2022-03-07 08:24:38,66.8333,70.8333,-19.28,96,95,11.21
141,Ruteng,ID,2022-03-07 08:24:39,-8.6136,120.4721,69.35,88,100,0.96
142,Barrow,US,2022-03-07 08:24:39,71.2906,-156.7887,-3.98,77,0,11.5
143,Prieska,ZA,2022-03-07 08:24:39,-29.6641,22.7474,71.62,65,100,6.29
144,Luderitz,NA,2022-03-07 08:24:40,-26.6481,15.1594,76.23,59,0,12.8
145,Hay River,CA,2022-03-07 08:24:40,60.8156,-115.7999,17.58,86,100,24.16
146,Albina,SR,2022-03-07 08:24:41,5.5,-54.05,71.26,100,100,1.21
147,San Patricio,US,2022-03-07 08:24:41,28.017,-97.5169,71.69,92,71,11.43
148,Aasiaat,GL,2022-03-07 08:24:41,68.7098,-52.8699,4.41,95,100,9.75
149,Palmer,US,2022-03-07 08:24:42,42.1584,-72.3287,55.15,65,0,5.75
150,Inhambane,MZ,2022-03-07 08:24:42,-23.865,35.3833,82.45,57,78,7.0
151,Mantua,IT,2022-03-07 08:24:43,45.1667,10.7833,46.27,68,7,3.22
152,Riyadh,SA,2022-03-07 08:20:01,24.6877,46.7219,82.54,12,57,17.56
153,Richards Bay,ZA,2022-03-07 08:24:10,-28.783,32.0377,84.97,56,0,8.77
154,Baijiantan,CN,2022-03-07 08:24:44,45.6333,85.1833,37.45,81,100,3.33
155,Gravdal,NO,2022-03-07 08:24:44,68.1214,13.5031,39.09,93,75,13.8
156,Virginia Beach,US,2022-03-07 08:24:45,36.8529,-75.978,66.42,89,6,15.23
157,Najran,SA,2022-03-07 08:24:46,17.4924,44.1277,83.05,7,8,4.09
158,Atuona,PF,2022-03-07 08:24:46,-9.8,-139.0333,78.53,81,21,14.09
159,Trairi,BR,2022-03-07 08:24:47,-3.2778,-39.2689,73.6,97,100,6.67
160,Jijiga,ET,2022-03-07 08:24:47,9.35,42.8,76.12,26,30,3.36
161,Olinda,BR,2022-03-07 08:24:47,-8.0089,-34.8553,76.73,83,75,3.44
162,La Ronge,CA,2022-03-07 08:24:48,55.1001,-105.2842,8.85,85,40,8.05
163,Lavrentiya,RU,2022-03-07 08:24:49,65.5833,-171.0,18.73,95,100,6.13
164,Peace River,CA,2022-03-07 08:22:40,56.2501,-117.286,39.51,78,75,17.27
165,Alofi,NU,2022-03-07 08:24:50,-19.0595,-169.9187,78.69,89,40,2.3
166,Chokurdakh,RU,2022-03-07 08:24:50,70.6333,147.9167,-18.4,94,22,9.31
167,Soyo,AO,2022-03-07 08:24:50,-6.1349,12.3689,84.25,79,94,6.13
168,Mar Del Plata,AR,2022-03-07 08:19:58,-38.0023,-57.5575,65.08,100,100,18.99
169,Armidale,AU,2022-03-07 08:24:51,-30.5167,151.65,60.82,72,68,5.84
170,Lahat,ID,2022-03-07 08:24:51,-3.8,103.5333,87.48,61,100,2.68
171,Huarmey,PE,2022-03-07 08:24:52,-10.0681,-78.1522,72.18,81,100,5.5
172,Chulman,RU,2022-03-07 08:24:52,56.8479,124.9104,15.73,88,100,5.95
173,Talnakh,RU,2022-03-07 08:24:53,69.4865,88.3972,-14.8,92,18,0.67
174,Merauke,ID,2022-03-07 08:24:53,-8.4667,140.3333,79.5,81,100,3.71
175,Boden,SE,2022-03-07 08:24:53,65.8252,21.6886,23.0,94,100,5.06
176,Muros,ES,2022-03-07 08:24:56,42.7762,-9.0603,39.83,90,3,5.82
177,Chapais,CA,2022-03-07 08:24:57,49.7834,-74.8492,17.38,100,100,3.78
178,Gunnedah,AU,2022-03-07 08:24:57,-30.9833,150.25,69.42,79,96,13.42
179,Asyut,EG,2022-03-07 08:20:34,27.181,31.1837,69.03,44,100,9.91
180,Vestmannaeyjar,IS,2022-03-07 08:24:58,63.4427,-20.2734,34.79,80,75,13.8
181,Labytnangi,RU,2022-03-07 08:24:58,66.6572,66.4183,-12.17,93,74,2.98
182,Florianopolis,BR,2022-03-07 08:24:06,-27.6146,-48.5012,72.63,97,40,2.3
183,Kenora,CA,2022-03-07 08:24:59,49.8167,-94.4337,11.37,67,0,9.22
184,Kodiak,US,2022-03-07 08:25:59,57.79,-152.4072,38.71,87,100,19.57
185,Tomigusuku,JP,2022-03-07 08:26:00,26.185,127.675,58.77,96,75,11.5
186,Asosa,ET,2022-03-07 08:26:00,10.0667,34.5333,88.93,16,89,3.56
187,Broome,US,2022-03-07 08:26:00,42.2506,-75.833,45.01,74,75,5.75
188,College,US,2022-03-07 08:25:11,64.8569,-147.8028,6.66,81,0,0.0
189,Fortuna,US,2022-03-07 08:26:01,40.5982,-124.1573,43.93,92,20,13.8
190,La Palma,US,2022-03-07 08:21:02,33.8464,-118.0467,53.87,75,0,4.61
