City_ID,index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,152,Pouebo,NC,82.4,broken clouds,-20.4,164.5667,RIVÂT LODGE
67,153,Teofilo Otoni,BR,71.67,scattered clouds,-17.8575,-41.5053,Hotel Nobre Palace
68,155,Biak,ID,76.44,scattered clouds,-0.9131,122.8766,Penginapan Kim
69,158,Almenara,BR,76.75,light rain,-16.1836,-40.6944,Pousada Estância
70,159,Patu,BR,82.06,overcast clouds,-6.11,-37.6367,Pousada Cidade do Sol
71,161,San Patricio,US,70.54,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
72,163,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
73,166,Aneho,TG,84.4,overcast clouds,6.2333,1.6,Hotel La Linette
74,167,Ballina,AU,67.96,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
75,170,Sur,OM,78.35,clear sky,22.5667,59.5289,Sur Plaza Hotel
76,171,Piacabucu,BR,79.45,broken clouds,-10.4056,-36.4344,Piaçabuçu News
77,172,Cape Canaveral,US,72.99,moderate rain,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
78,173,Porto Walter,BR,78.48,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
79,176,Binga,ZW,72.0,few clouds,-17.6203,27.3414,Lakeview Inn Binga
80,178,Tura,IN,67.33,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
81,179,Ambanja,MG,74.77,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
82,180,Umkomaas,ZA,75.6,scattered clouds,-30.2067,30.7978,The Norwegian Lodge
83,182,Hithadhoo,MV,81.59,few clouds,-0.6,73.0833,Scoop Guest House
84,183,Bure,ET,71.11,overcast clouds,10.7,37.0667,Holiday
85,193,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
86,196,Manaure,CO,84.25,broken clouds,11.7751,-72.4445,Hotel Palaaima
87,201,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
88,203,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
89,204,Lompoc,US,75.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
90,205,Santa Vitoria Do Palmar,BR,69.3,moderate rain,-33.5189,-53.3681,Hostel Comodoro
91,209,Kanye,BW,69.49,broken clouds,-24.9667,25.3327,The Savanna Lodge
92,210,Pisco,PE,75.25,moderate rain,-13.7,-76.2167,Hotel San Isidro Oficial
93,212,Ixtapa,MX,82.02,few clouds,20.7,-105.2,hotel la terminal
94,219,Guerrero Negro,MX,67.06,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
95,220,Carutapera,BR,76.14,overcast clouds,-1.195,-46.02,Lidera
96,221,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
97,227,Fomboni,KM,81.73,light rain,-12.28,43.7425,Auberge les abou
98,229,Vanimo,PG,77.59,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
99,232,Nelson Bay,AU,70.0,light rain,-32.7167,152.15,Mantra Nelson Bay
100,234,Port Macquarie,AU,68.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
101,235,Sinnamary,GF,77.32,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
102,238,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
103,241,Tulum,MX,83.01,few clouds,20.2167,-87.4667,Kin Ha Tulum
104,247,Obera,AR,70.12,moderate rain,-27.4871,-55.1199,CABAÑAS DORALIA
105,249,Bandarbeyla,SO,75.92,overcast clouds,9.4942,50.8122,JABIR HOTEL
106,252,Morro Bay,US,73.26,clear sky,35.3658,-120.8499,Inn at Morro Bay
107,254,Bac Lieu,VN,76.71,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
108,257,Diffa,NE,81.28,clear sky,13.3154,12.6113,ProDAF/Diffa
109,261,Atambua,ID,73.4,broken clouds,-9.1061,124.8925,Kost Alfa Flat
110,266,Lucea,JM,82.26,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
111,271,Coihaique,CL,66.81,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
112,273,Cuamba,MZ,70.11,overcast clouds,-14.8031,36.5372,Hotel Vision
113,279,Kutum,SD,69.73,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
114,287,Kavaratti,IN,82.11,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
115,288,Lalsot,IN,68.56,clear sky,26.5667,76.3333,Sharma Hotel
116,291,Ravar,IR,72.91,overcast clouds,31.2656,56.8055,computertik
117,292,Chicama,PE,68.54,few clouds,-7.8447,-79.1469,Balihai Bungalows
118,295,Limon,CR,84.09,clear sky,10.0,-83.0333,Hotel Playa Bonita
119,298,Charters Towers,AU,80.15,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
120,304,Bilma,NE,72.34,few clouds,18.6853,12.9164,Expeditions Ténére voyages
